ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Swatches Attributes","Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global"
20847,simple,,"Collagen Meiling Porridge",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,10,Promotion,,,https://in-staramen.com/wp-content/uploads/2024/09/DSC08572-1-1.png,,,,,,,,,0,,,,,
20848,simple,,"Milk Bird’s Nest Porridge",1,0,visible,,,,,taxable,,1,101,,0,0,,,,,1,,,10,Promotion,,,https://in-staramen.com/wp-content/uploads/2024/09/DSC08580-1-1.png,,,,,,,,,0,,,,,
20851,simple,,"Red Bean Porridge with Tangerine Peel & Lotus Seeds",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,8,Promotion,,,https://in-staramen.com/wp-content/uploads/2024/09/DSC08564-1-1.png,,,,,,,,,0,,,,,
20867,simple,,"Fruit Jelly",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,5,Promotion,,,,,,,,,,,,0,,,,,
21107,simple,,"Mlik Bird's Nest Porridge",1,0,visible,,review,,,taxable,,1,100,,0,0,,,,,1,,,6.20,Promotion,"Healthy & Nutritious Choices",,https://in-staramen.com/wp-content/uploads/2024/09/DSC08580-1-1.png,,,,,,,,,0,,,,,
21280,simple,,"Yuzu Miso Senbei",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,12,Promotion,,,https://in-staramen.com/wp-content/uploads/2024/09/DSC08450-1.png,,,,,,,,,0,,,,,
21293,simple,,"LOCABO Farm Biscuits",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,4.7,Promotion,,,https://in-staramen.com/wp-content/uploads/2024/09/2-1.png,,,,,,,,,0,,,,,
21300,simple,,"Younger Farm Rice Crackers",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,4.5,Promotion,,,https://in-staramen.com/wp-content/uploads/2024/09/1-1.png,,,,,,,,,0,,,,,
21354,variable,,"LOTTE Toppo",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Chips/Nuts,"Functional Snacks",,,,,,,,,,,0,,Flavour,"Cocoa Chocolate, Strawberry, Vanilla",1,0
21355,variation,,"LOTTE Toppo - Cocoa Chocolate",1,0,visible,,"Lotte Toppo Cocoa Chocolate offers a perfect blend of crispy pretzel sticks filled with smooth, rich cocoa chocolate. Each bite delivers a satisfying crunch with a sweet, creamy chocolate center, making it an irresistible snack for any time of day. Convenient 40g pack for on-the-go enjoyment​",,,taxable,parent,1,1,,0,0,,,,,0,,,2.50,,,,,,,id:21354,,,,,,1,,Flavour,"Cocoa Chocolate",,0
